semana,numero_de_horas
1,15.20
2,5.60
3,8.20
4,6.10
5,7.50
6,9.60
7,7.10
8,0.00
9,8.70
10,8.10
11,10.10
12,5.50
13,9.90
14,5.30
15,4.20
16,9.80
17,11.60
18,7.40
19,11.40
20,9.80
21,10.20
22,2.00
23,5.40
24,11.50
25,4.20
26,4.60
27,6.90
28,7.40
29,8.60
30,8.30
31,11.20
32,5.30
33,7.90
34,11.10
35,1.00
36,5.00
37,7.80
38,11.20
39,6.70
40,10.80
41,10.30
42,11.80
43,9.80
44,11.00
45,5.10
46,12.00
47,4.30
48,11.80
49,0.00
50,0.00
51,10.30
52,9.70
